Txn Date,Particulars,Debit,Credit,Balance
01/08/2026,Salary Credit from TechCorp Ltd,,75000.00,75000.00
03/08/2026,Swiggy Bangalore Order,650.00,,74350.00
05/08/2026,Shell Petrol Bunk Electronic City,2000.00,,72350.00
08/08/2026,Amazon Retail India,3499.00,,68851.00
10/08/2026,Bescom Electricity Bill Payment,1850.00,,67001.00
12/08/2026,Netflix Monthly Subscription,649.00,,66352.00
15/08/2026,Client Payment for Freelance Design,,15000.00,81352.00
18/08/2026,Apollo Pharmacy Health Meds,1200.00,,80152.00
21/08/2026,Zomato Dineout Buffet,2800.00,,77352.00
24/08/2026,Zerodha Broking SIP Investment,10000.00,,67352.00
