Date,Type,Amount,Category,Description
2026-08-01,income,85000,Salary,August Monthly Salary
2026-08-03,expense,3200,Food,Nature Basket Supermarket
2026-08-05,expense,1500,Transport,Fuel & Fastag Recharge
2026-08-08,expense,4800,Shopping,Zara Apparel
2026-08-10,expense,2100,Bills,Electricity and Broadband
2026-08-12,expense,899,Entertainment,Netflix and Spotify
2026-08-15,income,12000,Freelance,UI Consultation project
2026-08-18,expense,1200,Health,Pharmacy medications
2026-08-20,expense,3400,Food,Dinner with friends
2026-08-22,expense,5000,Investment,Monthly Mutual Fund SIP
